attacktype1_txt,count1,country,ntype,latitude,lonitude
Armed Assault,996,Albania,2,41.153332,20.168331
Assassination,1491,Algeria,21,28.033886,1.659626
Bombing/Explosion,3283,Angola,1,-11.202692,17.873887
Facility/Infrastructure Attack,899,Argentina,171,38.416097,-63.616672
Hijacking,54,Armenia,1,40.069099,45.038189
Hostage Taking (Barricade Incident),100,Australia,2,-25.274398,133.775136
Hostage Taking (Kidnapping),359,Austria,13,47.516231,14.550072
,,Bahamas,2,25.03428,-77.39628
,,Bahrain,1,25.930414,50.637772
,,Barbados,1,13.193887,-59.543198
,,Belgium,6,50.503887,4.469936
,,Bolivia,11,-16.290154,-63.588653
,,Botswana,1,-22.328474,24.684866
,,Brazil,16,-14.235004,-51.92528
,,Bulgaria,1,42.733883,25.48583
,,Canada,2,56.130366,-106.346771
,,Chile,43,-35.675147,-71.542969
,,China,2,35.86166,104.195397
,,Colombia,226,4.570868,-74.297333
,,Costa Rica,10,9.748917,-83.753428
,,Cuba,41,21.521757,-77.781167
,,Cyprus,5,35.126413,33.429859
,,Czechoslovakia,2,49.817492,15.472962
,,Denmark,3,56.26392,9.501785
,,Dominican Republic,12,18.735693,-70.162651
,,Ecuador,23,-1.831239,-78.183406
,,Egypt,21,26.820553,30.802498
,,El Salvador,103,13.794185,-88.89653
,,Ethiopia,5,9.145,40.489673
,,Finland,1,61.92411,25.748151
,,France,179,46.227638,2.213749
,,Germany,302,51.165691,10.451526
,,Greece,55,39.074208,21.824312
,,Guatemala,50,15.783471,-90.230759
,,Guyana,1,4.860416,-58.93018
,,Haiti,3,18.971187,-72.285215
,,Hong Kong,1,22.396428,114.109497
,,India,13,20.593684,78.96288
,,Indonesia,4,-0.789275,113.921327
,,Iran,75,32.427908,53.688046
,,Iraq,14,33.223191,43.679291
,,Ireland,31,53.41291,-8.24389
,,Israel,173,31.046051,34.851612
,,Italy,656,41.87194,12.56738
,,Jamaica,2,18.109581,-77.297508
,,Japan,59,36.204824,138.252924
,,Jordan,20,30.585164,36.238414
,,Kenya,4,-0.023559,37.906193
,,Kuwait,1,29.31166,47.481766
,,Lebanon,17,33.854721,35.862285
,,Malawi,1,-13.254308,34.301525
,,Malaysia,3,4.210484,101.975766
,,Mauritania,2,21.00789,-10.940835
,,Mexico,76,23.634501,-102.552784
,,Morocco,4,31.791702,-7.09262
,,Mozambique,2,-18.665695,35.529562
,,Myanmar,8,21.913965,95.956223
,,Namibia,9,-22.95764,18.49041
,,Netherlands,18,52.132633,5.291266
,,New Zealand,1,-40.900557,174.885971
,,Nicaragua,132,12.865416,-85.207229
,,Nigeria,2,9.081999,8.675277
,,North Korea,1,40.339852,127.510093
,,Norway,1,60.472024,8.468946
,,Pakistan,2,30.375321,69.345116
,,Panama,2,8.537981,-80.782127
,,Paraguay,5,-23.442503,-58.443832
,,Peru,11,-9.189967,-75.015152
,,Philippines,47,12.879721,121.774017
,,Poland,3,51.919438,19.145136
,,Portugal,40,39.399872,-8.224454
,,Puerto Rico,31,18.220833,-66.590149
,,Russia,3,61.52401,105.318756
,,Saudi Arabia,3,23.885942,45.079162
,,Senegal,1,14.497401,-14.452362
,,Somalia,1,5.152149,46.199616
,,South Africa,44,-30.559482,22.937506
,,South Korea,3,35.907757,127.766922
,,Spain,635,40.463667,-3.74922
,,Sri Lanka,1,7.873054,80.771797
,,Sweden,9,60.128161,18.643501
,,Switzerland,13,46.818188,8.227512
,,Syria,17,34.802075,38.996815
,,Taiwan,1,23.69781,120.960515
,,Thailand,8,15.870032,100.992541
,,Tunisia,2,33.886917,9.537499
,,Turkey,273,38.963745,35.243322
,,United Arab Emirates,1,23.424076,53.847818
,,United Kingdom,1,55.378051,-3.435973
,,United States,1824,37.09024,-95.712891
,,Uruguay,29,-32.522779,-55.765835
,,Venezuela,30,6.42375,-66.58973
,,Vietnam,2,14.058324,108.277199
,,Yemen,4,15.552727,48.516388
,,Yugoslavia,27,-13.133897,27.849332
,,Zimbabwe,1,-19.015438,29.154857
